站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220607203828,12.3,1005.3,46,209,8.7,0.3,10364.8
58102,20220607203828,24.4,1015.7,38,180,0.2,1.5,10318.1
58118,20220607203828,34.0,1010.2,23,318,7.5,0.0,10297.5
58122,20220607203828,11.8,1022.9,10,316,6.3,1.3,10460.0
58203,20220607203828,12.6,1003.9,98,34,1.9,0.2,10215.8
58215,20220607203828,0.7,1013.4,9,232,2.3,0.1,10015.5
58221,20220607203828,25.9,1021.8,64,130,5.3,1.0,10449.3
58225,20220607203828,9.5,1012.7,68,204,1.7,0.5,10179.1
58236,20220607203828,6.8,1002.3,12,319,13.9,0.1,10489.0
58311,20220607203828,10.4,1004.6,81,317,14.7,0.4,10220.5
58314,20220607203828,28.1,1020.5,14,188,6.4,0.9,10066.1
58319,20220607203828,25.8,1002.2,91,27,6.9,0.5,10037.4
58321,20220607203828,8.7,1004.1,58,271,7.4,0.8,10214.7
58326,20220607203828,7.0,1015.9,8,274,13.1,1.1,10468.6
58336,20220607203828,32.3,1015.8,33,261,1.3,1.3,10149.1
58338,20220607203828,4.4,1017.6,72,66,4.3,0.5,10430.3
58414,20220607203828,9.3,1012.3,99,333,10.7,1.5,10242.3
58419,20220607203828,2.0,1007.2,47,199,0.7,0.9,10301.4
58424,20220607203828,22.0,1016.3,17,100,7.1,1.2,10137.0
58429,20220607203828,9.0,1023.3,75,214,12.2,0.1,10231.1
58436,20220607203828,12.6,1017.1,55,352,7.7,0.4,10421.8
58437,20220607203828,8.8,1016.1,15,207,3.9,0.5,10213.2
58520,20220607203828,22.7,1012.8,92,130,1.1,0.7,10015.2
58531,20220607203828,11.6,1008.0,37,99,10.1,0.2,10170.5
54406,20220607203828,24.1,1002.6,94,230,1.4,0.8,10407.2
54416,20220607203828,13.1,1015.9,14,289,1.6,0.7,10233.1
54511,20220607203828,33.5,1012.7,68,47,11.1,1.5,10268.5
58725,20220607203828,21.3,1015.0,60,159,7.6,1.5,10169.6
58730,20220607203828,27.4,1013.8,16,324,6.4,1.2,10084.2
58731,20220607203828,33.4,1020.0,70,356,11.5,1.4,10233.7
58734,20220607203828,27.6,1003.2,7,132,0.4,1.4,10334.7
58737,20220607203828,23.9,1017.7,49,12,10.7,0.3,10045.4
58744,20220607203828,24.4,1023.0,34,284,6.3,0.0,10115.4
58754,20220607203828,8.9,1003.5,16,331,12.1,0.4,10199.5
58818,20220607203828,4.8,1006.4,46,43,13.3,1.1,10389.8
58820,20220607203828,32.3,1018.2,67,185,1.6,0.6,10141.9
58834,20220607203828,5.2,1019.8,53,359,8.0,0.5,10331.8
58837,20220607203828,5.0,1024.7,45,164,14.9,0.7,10318.4
58843,20220607203828,18.6,1003.8,76,340,11.7,0.4,10170.1
58846,20220607203828,4.3,1014.9,51,139,0.3,0.8,10337.6
58847,20220607203828,14.0,1018.2,46,354,0.8,0.9,10147.0
58911,20220607203828,25.6,1006.3,82,134,12.7,0.2,10292.0
58918,20220607203828,10.9,1010.9,47,239,8.9,1.0,10164.2
58921,20220607203828,34.7,1023.4,48,28,12.0,1.0,10383.8
58926,20220607203828,26.0,1002.1,97,256,0.1,1.4,10170.6
58927,20220607203828,34.8,1011.5,100,269,8.4,0.1,10330.7
58931,20220607203828,22.6,1013.6,43,270,0.2,0.0,10454.5
58933,20220607203828,30.2,1003.7,3,350,5.9,0.5,10195.7
58936,20220607203828,12.0,1007.4,12,47,1.8,1.5,10394.3
58944,20220607203828,23.2,1019.3,98,20,9.9,1.3,10130.9
59113,20220607203828,28.8,1014.0,14,116,4.3,0.3,10206.1
59126,20220607203828,19.5,1010.2,30,47,6.2,1.1,10401.6
59133,20220607203828,5.0,1011.7,50,134,13.2,1.2,10015.0
59134,20220607203828,8.1,1023.9,70,221,7.3,1.5,10190.4
59321,20220607203828,11.5,1008.3,35,257,9.8,0.7,10464.0
52323,20220607203828,21.6,1018.6,45,96,10.6,0.9,10458.5
52418,20220607203828,4.3,1020.4,15,3,8.9,0.7,10345.3
52424,20220607203828,22.1,1010.5,64,183,9.4,0.5,10436.5
52436,20220607203828,23.1,1018.4,50,301,12.2,0.7,10362.2
52446,20220607203828,21.2,1018.8,57,293,9.1,1.2,10247.2
52447,20220607203828,18.2,1010.6,30,27,13.2,0.3,10162.1
52533,20220607203828,26.3,1002.0,13,284,3.5,0.7,10020.0
52546,20220607203828,31.1,1011.0,16,11,6.6,0.4,10100.1
52652,20220607203828,4.7,1008.0,48,250,3.5,0.3,10273.7
52661,20220607203828,18.6,1014.8,30,324,3.4,0.2,10289.3
52674,20220607203828,8.5,1009.4,7,88,1.4,1.4,10244.2
52679,20220607203828,24.9,1021.7,53,74,1.0,0.7,10282.5
52681,20220607203828,34.6,1004.4,35,115,13.6,1.4,10341.0
52787,20220607203828,33.0,1010.4,2,199,4.7,1.0,10101.6
52797,20220607203828,18.9,1016.5,20,248,9.4,0.9,10241.2
52884,20220607203828,9.4,1001.7,21,1,4.4,1.2,10365.5
52895,20220607203828,12.6,1013.7,37,41,7.6,1.5,10355.3
52983,20220607203828,30.0,1015.0,26,315,4.4,1.4,10047.0
52984,20220607203828,5.7,1012.8,63,255,0.1,0.9,10447.8
52986,20220607203828,5.3,1016.5,12,226,0.9,0.4,10406.1
52996,20220607203828,26.0,1002.6,67,340,5.0,1.5,10007.9
53821,20220607203828,24.6,1003.1,42,292,13.1,1.0,10053.6
53915,20220607203828,14.3,1004.0,67,153,10.5,0.0,10241.9
53923,20220607203828,12.7,1000.3,25,134,12.3,0.8,10477.9
56074,20220607203828,11.2,1019.2,81,289,12.8,1.0,10465.5
56080,20220607203828,24.9,1016.6,95,117,7.7,1.1,10072.5
56093,20220607203828,4.7,1005.9,30,180,0.1,0.3,10428.1
56096,20220607203828,20.0,1001.2,15,47,9.0,0.7,10178.1
57014,20220607203828,32.5,1024.2,34,59,4.9,0.1,10429.7
57996,20220607203828,2.5,1018.9,91,40,6.5,0.5,10043.2
59072,20220607203828,6.6,1009.2,73,327,12.6,0.9,10389.1
59082,20220607203828,28.4,1005.6,14,150,2.8,0.7,10463.5
59087,20220607203828,15.0,1017.8,83,196,4.7,1.5,10334.6
59088,20220607203828,30.1,1019.8,78,48,14.7,0.7,10375.8
59096,20220607203828,21.6,1017.7,63,271,7.5,0.6,10150.2
59097,20220607203828,14.8,1024.2,19,305,9.3,1.1,10455.6
59107,20220607203828,26.9,1018.8,37,66,8.1,1.4,10478.4
59116,20220607203828,19.5,1018.7,72,127,12.0,0.4,10311.3
59117,20220607203828,30.1,1012.7,1,246,2.0,0.6,10001.4
59271,20220607203828,3.9,1007.1,69,32,14.3,0.7,10140.8
59278,20220607203828,24.0,1022.4,65,183,3.7,1.2,10133.9
59280,20220607203828,2.3,1012.5,46,270,11.0,0.0,10447.4
59287,20220607203828,18.0,1007.6,38,354,3.5,0.5,10420.9
59289,20220607203828,6.5,1007.6,90,284,0.4,1.0,10473.3
