站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220607204026,18.5,1002.3,82,156,6.4,0.8,10258.5
58102,20220607204026,16.7,1019.8,73,174,12.5,1.2,10380.1
58118,20220607204026,22.0,1002.3,54,0,10.7,0.5,10167.5
58122,20220607204026,13.0,1005.0,55,236,7.5,0.4,10372.7
58203,20220607204026,4.2,1015.6,9,18,5.1,0.9,10099.3
58215,20220607204026,25.3,1003.2,59,76,7.5,1.0,10222.7
58221,20220607204026,2.7,1018.8,65,202,7.4,0.1,10364.3
58225,20220607204026,18.8,1017.1,15,12,2.6,0.0,10252.6
58236,20220607204026,28.7,1008.5,55,167,5.3,0.2,10073.4
58311,20220607204026,29.3,1016.8,52,121,2.7,1.3,10374.0
58314,20220607204026,31.0,1017.8,88,256,4.1,1.1,10347.3
58319,20220607204026,13.9,1000.2,42,48,7.3,1.1,10297.2
58321,20220607204026,6.6,1009.5,26,72,11.2,0.7,10012.5
58326,20220607204026,23.7,1017.5,77,321,10.1,0.7,10212.2
58336,20220607204026,4.4,1017.8,20,103,3.1,0.6,10387.8
58338,20220607204026,4.3,1017.6,39,90,8.4,0.7,10140.6
58414,20220607204026,16.6,1020.3,37,159,6.5,0.5,10477.0
58419,20220607204026,9.7,1024.3,64,35,13.8,1.5,10451.8
58424,20220607204026,33.2,1010.9,60,150,5.7,0.7,10493.0
58429,20220607204026,21.3,1018.7,93,56,5.1,1.4,10088.1
58436,20220607204026,27.6,1003.8,50,134,0.3,0.5,10405.0
58437,20220607204026,8.1,1024.4,70,59,14.4,0.4,10427.6
58520,20220607204026,21.1,1019.8,12,146,9.2,0.3,10492.2
58531,20220607204026,4.9,1017.7,2,253,9.1,0.9,10058.2
54406,20220607204026,2.5,1014.1,68,299,9.1,1.3,10422.6
54416,20220607204026,32.4,1021.1,80,178,5.7,1.2,10069.0
54511,20220607204026,4.9,1022.2,64,108,10.6,0.7,10486.0
58725,20220607204026,7.3,1017.0,15,212,0.4,0.3,10095.5
58730,20220607204026,30.2,1018.0,7,290,13.8,1.4,10067.6
58731,20220607204026,32.9,1001.7,96,39,5.3,0.7,10269.2
58734,20220607204026,14.2,1013.7,67,56,1.0,0.1,10259.2
58737,20220607204026,33.6,1015.1,75,238,5.8,0.8,10183.2
58744,20220607204026,8.3,1016.5,21,330,1.6,1.1,10310.5
58754,20220607204026,20.8,1002.7,22,166,5.4,0.1,10448.0
58818,20220607204026,6.5,1021.1,63,180,7.3,0.4,10282.7
58820,20220607204026,31.2,1002.5,98,295,6.8,0.4,10045.6
58834,20220607204026,18.4,1003.5,50,159,11.8,0.5,10394.9
58837,20220607204026,33.8,1008.0,54,220,10.7,0.7,10173.1
58843,20220607204026,9.8,1025.1,93,119,14.4,0.7,10376.5
58846,20220607204026,21.2,1025.2,33,75,4.7,1.0,10467.5
58847,20220607204026,2.0,1026.2,37,265,11.4,0.9,10067.6
58911,20220607204026,24.7,1012.7,87,178,10.7,1.5,10162.3
58918,20220607204026,23.9,1023.3,39,166,1.4,1.0,10061.3
