站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220607203318,25.9,1026.3,80,23,2.5,1.4,10018.0
58102,20220607203318,8.3,1013.1,30,311,0.0,1.2,10361.2
58118,20220607203318,12.3,1005.3,78,192,6.6,0.4,10005.1
58122,20220607203318,22.5,1019.7,23,295,11.8,0.0,10076.7
58203,20220607203318,34.5,1009.0,29,341,0.3,0.7,10122.8
58215,20220607203318,23.8,1014.3,80,303,12.4,1.2,10015.0
58221,20220607203318,32.6,1018.7,25,6,6.2,1.3,10285.7
58225,20220607203318,15.5,1019.8,91,117,2.8,0.4,10473.2
58236,20220607203318,33.3,1016.4,40,138,3.9,1.5,10419.6
58311,20220607203318,21.9,1014.6,36,122,10.1,0.2,10294.0
58314,20220607203318,15.4,1007.2,4,56,5.6,1.5,10253.7
58319,20220607203318,11.7,1015.6,74,209,8.4,1.5,10306.4
58321,20220607203318,22.4,1006.5,4,332,10.4,1.4,10335.3
58326,20220607203318,17.5,1010.1,62,88,8.9,0.0,10282.7
58336,20220607203318,1.7,1003.5,1,10,8.4,1.2,10183.6
58338,20220607203318,11.2,1019.3,61,4,1.4,1.4,10113.1
58414,20220607203318,15.4,1006.9,45,225,8.1,0.8,10343.5
58419,20220607203318,31.2,1010.7,1,44,10.6,1.0,10376.8
58424,20220607203318,7.6,1016.0,36,310,7.1,0.4,10419.4
58429,20220607203318,33.0,1022.2,39,100,12.5,1.0,10235.7
58436,20220607203318,14.4,1017.1,31,35,3.8,1.0,10390.3
58437,20220607203318,4.1,1026.4,43,297,6.9,1.5,10443.0
58520,20220607203318,17.5,1013.7,67,332,6.7,0.9,10079.6
58531,20220607203318,23.2,1011.4,27,30,8.1,0.4,10396.4
54406,20220607203318,5.8,1005.2,68,301,5.3,0.9,10192.3
54416,20220607203318,33.1,1012.8,9,173,10.0,1.5,10036.2
54511,20220607203318,9.1,1001.1,13,156,5.3,1.4,10017.4
58725,20220607203318,19.6,1024.6,36,355,12.3,0.5,10071.5
58730,20220607203318,27.6,1019.3,16,163,4.7,0.6,10185.4
58731,20220607203318,13.7,1015.6,65,206,10.7,0.5,10132.1
58734,20220607203318,31.6,1011.6,82,128,7.4,0.5,10180.9
58737,20220607203318,15.2,1006.0,97,51,0.7,1.5,10195.7
58744,20220607203318,2.2,1013.3,32,26,7.3,0.3,10128.9
58754,20220607203318,7.8,1011.1,19,24,6.5,0.7,10104.0
58818,20220607203318,30.7,1015.8,30,101,8.4,0.3,10458.9
58820,20220607203318,6.6,1015.8,38,299,3.4,0.5,10160.4
58834,20220607203318,7.8,1004.7,10,215,11.2,0.4,10133.9
58837,20220607203318,5.6,1003.4,64,177,7.3,1.4,10064.5
58843,20220607203318,3.1,1024.7,5,302,7.5,0.9,10487.4
58846,20220607203318,10.3,1004.3,9,331,0.7,0.9,10450.4
58847,20220607203318,15.5,1000.0,53,224,14.9,0.9,10286.9
58911,20220607203318,6.6,1017.4,73,86,14.5,0.0,10493.8
58918,20220607203318,11.1,1024.2,38,160,8.9,0.1,10378.1
58921,20220607203318,5.1,1009.3,22,269,7.7,0.9,10051.1
58926,20220607203318,15.3,1012.1,15,117,5.9,0.2,10354.6
58927,20220607203318,4.0,1008.7,25,170,8.8,1.2,10292.1
58931,20220607203318,14.1,1012.4,25,46,0.8,0.1,10477.6
58933,20220607203318,22.4,1025.1,94,57,3.4,1.4,10101.9
58936,20220607203318,12.4,1009.1,51,7,7.4,0.4,10064.3
58944,20220607203318,2.2,1005.5,38,304,1.9,0.5,10098.2
59113,20220607203318,19.1,1004.5,35,332,9.6,1.0,10087.7
59126,20220607203318,21.0,1009.0,70,126,13.3,0.6,10322.0
59133,20220607203318,29.8,1015.0,23,53,7.8,1.3,10187.6
59134,20220607203318,12.7,1019.4,58,210,7.6,1.1,10289.9
59321,20220607203318,29.3,1001.5,53,104,7.2,1.5,10491.4
52323,20220607203318,23.8,1016.1,100,266,2.7,0.0,10270.0
52418,20220607203318,23.5,1003.9,9,20,1.7,0.7,10450.0
52424,20220607203318,26.1,1020.6,48,262,14.7,0.0,10104.4
52436,20220607203318,29.6,1001.5,80,281,1.8,0.8,10329.3
52446,20220607203318,30.9,1004.3,76,311,2.4,1.4,10183.2
52447,20220607203318,13.9,1009.7,75,24,13.3,0.2,10492.6
52533,20220607203318,23.2,1007.5,63,312,7.3,0.5,10413.3
52546,20220607203318,32.0,1010.5,52,137,7.5,1.1,10152.0
52652,20220607203318,1.5,1003.7,97,116,9.2,0.3,10205.0
52661,20220607203318,25.4,1020.2,38,160,10.1,1.5,10121.7
52674,20220607203318,28.5,1002.7,85,39,6.5,1.1,10411.7
52679,20220607203318,7.8,1013.0,50,171,13.0,1.3,10184.1
52681,20220607203318,33.0,1002.4,80,21,5.3,0.3,10142.4
52787,20220607203318,17.5,1013.3,38,231,5.7,0.2,10463.4
52797,20220607203318,0.8,1008.9,72,264,13.6,0.4,10328.8
52884,20220607203318,9.3,1008.5,27,62,1.5,1.2,10057.8
52895,20220607203318,26.1,1005.4,15,6,1.5,0.5,10353.5
52983,20220607203318,10.4,1016.9,50,153,2.7,0.2,10178.9
52984,20220607203318,21.0,1024.4,13,234,0.3,0.7,10364.3
52986,20220607203318,10.7,1005.6,75,325,4.6,0.1,10204.9
52996,20220607203318,22.8,1004.6,93,192,11.0,1.0,10166.0
53821,20220607203318,24.3,1012.8,30,147,2.8,0.6,10393.3
53915,20220607203318,7.4,1020.1,89,184,3.0,0.4,10306.1
53923,20220607203318,28.6,1018.3,78,97,7.9,0.0,10168.9
56074,20220607203318,8.8,1018.7,14,44,8.8,0.5,10192.0
