站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220607203150,5.0,1007.1,12,96,3.6,0.1,10354.4
58102,20220607203150,3.5,1008.1,96,226,3.4,0.7,10437.4
58118,20220607203150,0.1,1003.3,25,39,8.9,1.0,10476.1
58122,20220607203150,0.2,1000.0,52,242,7.8,0.7,10307.0
58203,20220607203150,29.2,1021.3,93,288,0.7,0.0,10068.6
58215,20220607203150,9.7,1001.3,11,310,5.4,0.2,10043.7
58221,20220607203150,31.0,1020.1,84,59,5.7,1.1,10018.1
58225,20220607203150,26.6,1008.2,62,259,9.7,0.8,10301.3
58236,20220607203150,12.6,1004.2,44,67,7.7,0.3,10088.2
58311,20220607203150,32.1,1018.8,98,67,13.6,0.7,10083.8
58314,20220607203150,21.7,1013.3,79,69,2.7,1.3,10083.1
58319,20220607203150,0.6,1011.5,44,162,13.0,0.4,10264.6
58321,20220607203150,24.0,1012.1,40,267,5.3,1.0,10101.7
58326,20220607203150,31.9,1002.0,88,27,11.3,0.0,10125.6
58336,20220607203150,30.5,1019.8,77,162,10.9,0.3,10118.9
58338,20220607203150,1.6,1005.8,37,40,9.1,1.1,10388.9
58414,20220607203150,4.1,1003.8,89,290,5.9,0.4,10301.5
58419,20220607203150,24.5,1010.0,26,114,3.2,0.0,10316.0
58424,20220607203150,17.1,1020.8,61,260,14.1,0.4,10428.1
58429,20220607203150,13.6,1001.8,71,348,1.4,0.6,10475.3
58436,20220607203150,2.1,1023.4,64,296,12.7,1.5,10185.2
58437,20220607203150,4.2,1015.4,37,80,4.2,0.5,10096.1
58520,20220607203150,6.5,1023.7,13,92,12.5,1.2,10306.7
58531,20220607203150,22.9,1005.6,68,21,0.6,1.3,10393.1
54406,20220607203150,15.9,1010.2,19,297,8.6,1.3,10274.8
54416,20220607203150,6.4,1005.0,85,212,11.6,0.4,10182.7
54511,20220607203150,23.9,1014.9,5,233,1.1,0.0,10334.1
58725,20220607203150,32.4,1013.6,31,58,0.4,0.5,10292.9
58730,20220607203150,30.5,1016.3,42,15,8.7,0.0,10297.7
58731,20220607203150,10.4,1018.0,23,319,3.2,1.4,10397.4
58734,20220607203150,13.4,1014.3,50,29,6.4,0.1,10273.8
58737,20220607203150,32.3,1015.8,53,17,11.6,1.0,10398.8
58744,20220607203150,14.7,1019.0,59,235,12.5,0.4,10077.6
58754,20220607203150,18.5,1014.2,87,55,0.7,0.4,10148.8
58818,20220607203150,2.0,1003.1,72,271,9.5,0.4,10063.4
58820,20220607203150,28.5,1018.7,48,309,10.0,1.5,10007.4
58834,20220607203150,17.5,1019.5,86,329,2.0,1.2,10144.0
58837,20220607203150,30.1,1022.6,47,207,10.8,0.1,10268.1
58843,20220607203150,1.4,1009.0,22,169,1.4,0.0,10227.1
58846,20220607203150,27.7,1011.4,6,110,9.3,0.0,10466.8
58847,20220607203150,29.0,1020.7,19,13,9.2,1.2,10305.8
58911,20220607203150,5.0,1015.5,32,241,14.8,0.9,10296.0
58918,20220607203150,21.2,1022.4,67,145,6.2,0.4,10163.6
58921,20220607203150,10.3,1005.0,92,117,4.7,0.8,10421.4
58926,20220607203150,34.1,1004.2,20,26,0.9,1.0,10249.1
58927,20220607203150,19.5,1017.9,7,279,4.6,0.9,10155.0
