站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220605201534,5.2,1000.4,24,298,3.6,0.0,10497.7
58102,20220605201534,16.9,1018.1,94,186,11.4,0.9,10051.7
58118,20220605201534,2.5,1002.0,54,24,4.5,1.0,10034.9
58122,20220605201534,29.9,1021.4,77,198,13.2,0.7,10125.6
58203,20220605201534,3.7,1015.1,98,151,12.0,0.0,10321.3
58215,20220605201534,17.2,1017.6,8,224,1.7,1.2,10249.3
58221,20220605201534,21.6,1011.4,9,320,14.1,1.4,10174.8
58225,20220605201534,27.7,1006.4,67,37,14.5,1.0,10121.4
58236,20220605201534,25.6,1011.7,79,174,12.0,1.5,10386.3
58311,20220605201534,5.5,1002.2,40,20,1.4,1.4,10345.7
58314,20220605201534,6.2,1010.7,60,267,2.8,0.3,10285.5
58319,20220605201534,3.7,1018.6,92,70,6.7,0.5,10307.7
58321,20220605201534,1.8,1021.9,67,263,1.3,0.0,10177.9
58326,20220605201534,6.0,1021.2,68,268,1.9,1.0,10464.5
58336,20220605201534,1.9,1000.1,46,199,1.1,0.4,10239.5
58338,20220605201534,30.9,1008.9,95,21,5.7,0.9,10080.5
58414,20220605201534,22.5,1018.2,71,81,0.3,1.2,10018.9
58419,20220605201534,31.4,1012.7,76,284,5.6,0.2,10035.8
58424,20220605201534,5.6,1014.3,15,3,1.1,0.7,10405.2
58429,20220605201534,9.1,1019.3,74,84,4.2,0.3,10012.9
58436,20220605201534,29.8,1019.1,49,208,0.5,1.0,10459.6
58437,20220605201534,5.1,1005.3,60,339,14.2,0.2,10372.3
58520,20220605201534,8.2,1003.5,21,147,3.3,0.2,10388.0
58531,20220605201534,18.1,1002.8,78,119,11.6,0.6,10497.4
54406,20220605201534,5.4,1022.4,13,143,2.7,0.8,10103.3
54416,20220605201534,11.1,1008.2,67,243,4.0,1.3,10125.8
54511,20220605201534,7.8,1001.1,11,194,9.3,1.4,10075.3
58725,20220605201534,4.9,1023.9,56,284,1.7,1.2,10113.3
58730,20220605201534,27.2,1006.1,32,27,0.5,0.3,10415.4
58731,20220605201534,24.1,1010.3,55,298,9.0,0.4,10160.7
58734,20220605201534,31.8,1012.7,89,178,11.0,0.2,10183.3
58737,20220605201534,8.1,1014.7,66,353,10.3,1.2,10475.0
58744,20220605201534,15.0,1018.7,5,357,9.5,0.7,10093.1
58754,20220605201534,13.5,1008.8,20,88,14.1,0.5,10294.2
58818,20220605201534,7.3,1011.3,72,76,14.5,1.1,10011.0
58820,20220605201534,23.2,1008.1,39,32,4.6,1.1,10268.6
58834,20220605201534,8.0,1005.8,3,292,13.7,1.4,10097.1
